"","X.3","X.2","X.1","X","votes.funny","votes.useful","votes.cool","user_id","review_id","stars","date","text","type","business_id","foodtype","howmany","avgrev","count12","count_bef","count14","count15","location","user_avg_asian","price","avgstar","isPA","isNC","isAZ","isNV","isWI","isQC","isburg","gdpcap","like","isasian","countreturnasian","goback","returnasian","is_bef","is2014","is2015","price_bef","avgstar_bef","price14","avgstar14","price15","avgstar15","numdate","porpreturn","diffstar","shock","price2","avgstar2","rating2"
"11",27,7,644989,644989,0,2,0,"AbOZkgeX4GitOm83lvu0og","subzAgGrnOBbViRf-cEo8Q",3,"2009-04-09","My friends and I went to Greek Isles tonight.  I have never eaten Greek food so I was really looking forward to trying this place.  When we entered, all I kept thinking about was how stereotypical the decor of the restaurant was. It just screamed cheesy and scenes from 'My Big Fat Greek Wedding' kept popping into my head but the manager was SO FRIENDLY and welcoming.

We ordered a dish that is similar to a gyro but was called something else on the menu that I cannot remember.  However, it was delicious. The grilled chicken was seasoned perfectly and the pita bread was warm and not too crispy.  Unfortunately, our dishes did not come with that much feta cheese.  There were a few sprinkles of feta on the side of our plate.

The seating is very comfortable and everyone is in an open space with no separate sections. Yet, there is (limited) outdoor seating.

Overall, I enjoyed the place and the ambiance but I do not see myself going back.","review","4Lqr7bE-ZI2uG7u02V4QJA","Greek",93,3.53763440860215,0,0,3,5,"NC",3.5213447171825,2,4,0,1,0,0,0,0,0,1.1,0,0,0,1,0,0,1,1,0,0,1.66666666666667,3.66666666666667,1.8,3.7,14343,0,-0.521344717182497,0,1,4,5
"12",28,8,60812,60812,2,3,3,"b9XdpPlzZCVimhNb0z8CNA","skammzN3vlO4q0k9Wy7nPA",5,"2009-07-12","I have to start out this review by saying I never had Indian food before I ate here, so I didn't feel I could give it a fair review until I tried a few others around town first.  Well, now that I have, I have to say that ""Flavors Of India"" is the best Indian Food in Phoenix, bar none!

First off, when you walk into an ethnic food restaurant, and the place is filled with people of the same ethnicity, and the place is really quiet because everyone is busy enjoying their food, you know it's a good place to eat.  

Is it a bad thing when the host/manager recognizes you when you walk in... and remembers your order?  You'd think we eat there a lot or something.  I've found my favorite dish is the Chicken Tikka Masala, medium spicy and if you like shrimp, the Shrimp Tikka Masala is just as yummy!  We usually order a side of the Paneer Kulcha (unleavened bread stuffed with Indian style cheese), which is wonderful to sop up the extra yummy sauce after you are finished.  Portion sizes don't appear to be too large, but we always have leftovers.  And it's always better the second day too!

The service is top notch, the food is excellent, and the best part of the dining experience is the Bollywood music videos playing on the flat screen!  Dinner and Entertainment all in one!  FTW!!!  I can't wait to go back!","review","LYyGQgL60VKdV-p_9OxmWQ","Indian",35,3.85714285714286,0,0,0,0,"AZ",3.5213447171825,2,3.5,0,0,1,0,0,0,0,0.7,1,1,2,0,1,0,0,0,0,0,0,0,1.64414414414414,3.5213447171825,14437,0.0571428571428571,1.4786552828175,1,0,0,0
"13",31,8,647267,647267,2,4,2,"WRVrxPlDOCFsKmzhjdGqxg","E_nV42PomUq2fXbpO5dKFA",4,"2008-10-07","Even though I did not adore my food (as I will discuss later), I still have to give this place a four-star rating for its enthusiastic owner--a real character, indeed.

In the often plastic (some might say ""soulless"") city of Phoenix, it is to the city's myriad ethnic restaurants where one must travel to find real personality and character. Greektown does not disappoint. To use crude language, the owner is one ""cocky son of a gun."" But, I still loved him! His enthusiasm for his food is contagious. It's hard to describe in words, but let's just say that he eats his Wheaties in the morning! All inquiries about menu items are answered in a detailed fashion with a hearty side of wit. You really have to come to the restaurant to see what I mean.

The food was good, but I don't think spectacular. As other reviewers have said, the restaurant is a good value. Your meal includes soup, salad and plenty of delicious pita/garlic bread. I ordered a chicken entree that included artichoke hearts and was satisfied, but not wowed. Perhaps it's me or perhaps it's the restaurant? I can't really say given that I've never had Greek food before. I will share, however, that one of my dining partners found the sauce used to make his ""Greek lasagna"" similar in taste and consistency to that found in Chef Boyardee canned pastas; sort of sweet and slimy. Desserts were a definite treat. Most of my tablemates pronounced my cheesecake the best of the bunch (even better than the super-sweet Bakalava).

Come for the crazy owner (HINT: You must love singing and attentive service), but stay for the cheesecake. If the ""good, but not great"" entrees leave you less than impressed, the overall experience will still make the time and money expended worth it.","review","lxfalv_k7V8X-ESUS34HuA","Greek",44,2.90909090909091,0,0,0,0,"AZ",3.5213447171825,2,4.5,0,0,1,0,0,0,0,0.7,1,0,0,1,0,0,0,0,0,0,0,0,1.64414414414414,3.5213447171825,14159,0,0.478655282817503,1,2,4.5,3
"14",33,9,60817,60817,10,9,10,"ca2Sa9Enqg2GlWFQ95p8bw","HSbZ5ZK4h6upKEfV3vUy4w",4,"2009-10-30","I used to be scared...I used to be petrified.  I was never one to branch out with my variety of cuisine, which meant that I never had Indian food before...until a couple of months ago when I was invited to a dinner party. And at Flavors of India...my Indian Food cherry was broken.

I decided to review this place now...since I have experienced other restaurants since.  I tend to always come back to this location.  The place seems very clean, I love the Bollywood videos that they play, and I love the service.  And I think that they have the best buffet!  

Now, I am really bad at names of the food that I order there (which is why I end up at the buffet...I may not know the names, but I know what I like looks like)

See me there at lunch real soon :)","review","LYyGQgL60VKdV-p_9OxmWQ","Indian",56,3.71428571428571,0,5,0,0,"AZ",3.4,2,3.5,0,0,1,0,0,0,0,0.7,1,1,2,0,1,1,0,0,2.2,3.7,0,0,1.64414414414414,3.5213447171825,14547,0.0357142857142857,0.6,1,0,0,0
"15",34,9,343610,343610,1,1,2,"DOJM58OkGSsIdk2qCUZnLQ","2mk8uZWAkmVgq6qO-itf7w",4,"2009-09-03","Went for the first time today with my sister for lunch. Small and quaint restaurant. Service was fast and efficient. 

I had never had Ethiopian food before, and had been putting it off because honestly, it just didn't *sound* like something I would eat. boy I was wrong- it was very good! Flavorful, and just filling enough without making you feel stuffed. I wasn't sure how spicy it would be, so I ordered the mild beef. It wasn't spicy at all, so I know that next time (and yes, there will be a next time) I will be braver in my ordering. :-)","review","-bd26a1QEEpqUZjBmtBUiQ","Ethiopian",169,3.80473372781065,0,1,2,0,"AZ",4,2,4,0,0,1,0,0,0,0,0.7,1,0,0,1,0,1,1,0,2,3.5,2.5,3.75,1.64414414414414,3.5213447171825,14490,0,0,0,1,3.5,4
"16",35,10,159376,159376,1,2,1,"5E193w76Qlhoi1gkyakW2A","XMR__ZUu3j07T4dZAX_5nA",5,"2008-04-01","I had never eaten Thai food before, and I was taken here for dinner after helping a friend move all day on a Saturday.  It may have been that I was starving and was depleted of all my energy, but the food here was great!!

The folks I was with swore up and down this place had some of the best Thai food in the Valley, so I let them do most of the ordering (I wanted to go the safe route via sweet and sour chicken, but they objected wholeheartedly).   

We ordered a variety of items, (appetizers, soups, and main dishes) and shared between the 3 of us.  It did take a little while (even with us and only one other party seated), but I was told this is because all items are cooked fresh when you order.  The lady serving us was very friendly, even when my friend was giving me crap about ordering medium spicy and not hot .  

It was all very good (If I attempted to spell some of the dishes I'd end up offending someone), I kept eating long after my stomach said ""no more"", since my taste buds were saying ""keep going!!""  

I will definitely be returning very soon!","review","XguGFMUSEMz4wx_2G-otyA","Thai",90,3.77777777777778,0,4,0,0,"AZ",3.5,1,4,0,0,1,0,0,0,0,0.7,1,1,7,0,1,1,0,0,0,2.875,0,0,1.64414414414414,3.5213447171825,13970,0.0777777777777778,1.5,1,0,0,0
"17",37,10,343619,343619,1,1,1,"WquqU5s77m7O3-DpkZErYg","WQsIm4U0oDa01We1-kLGOw",4,"2009-12-02","I was encouraged to join my Aunt and Mother at this restaurant for some traditional Ethiopian food.  My Aunt is from Dallas, and works with some Ethiopians and said that the food was great.  Had a ton of flavor and was something different.  I was completely out of my comfort zone, but I said ""what the hell?"" and went along for the ride.

I certainly am glad that I did. I have been back several times.  We had one of the traditional combination meals to be shared by the three of us.  It was great.  

For those like myself who have never eaten Ethiopian food before, here is a little run down of what goes on.  First, you order as a group and their serve your platter family style.  They give you some injera, which is like a pita or tortilla that you use to then pinch your food as you eat bite by bite.  The injera is somewhat gummy, and has an unusual texture which definitely takes getting used to.  If you visualize grabbing some hummus with a piece of pita bread, that is what you are doing when eating your food.  It's more of a pinch than a scoop, but I think you catch my drift.  The different food that they place on the platter is called Wat.  My favorite was the doro wat.  The coffee was excellent as well at Lalibela.

The restaurant itself is nothing too spectacular, but it didn't bother me.  It was extremely clean, and you could tell that care was put into everything about the restaurant.  The staff was very helpful, and showed pride for their product and their country.  I look forward to coming back again.","review","-bd26a1QEEpqUZjBmtBUiQ","Ethiopian",19,4.15789473684211,0,0,0,0,"AZ",3.5213447171825,2,4,0,0,1,0,0,0,0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1.64414414414414,3.5213447171825,14580,0,0.478655282817503,1,0,0,0
"18",44,11,587385,587385,1,2,2,"fzu9zwLQJBW8RqoqADOXiw","8WFHSgoOh-KL3IRTBdPxvQ",5,"2011-01-30","I'm not intrinsically drawn to ethnic restaurants that I haven't previously tried.  But Pho Real seemed like a safe bet for tasting Vietnamese food based on the recommendations of co-workers.  I've been twice in the past 3 weeks and I'm equally impressed with the service and food.

On both occasions, I ordered the delicious lemongrass chicken.  It's a sweet and spicy dish with grilled chicken, onions (and lots of 'em), zucchini, carrots, and cauliflower.  This heaping dish is served with clumpy white rice.  The flavor is out of this world!  On the first trip, I ordered a Jasmine tea and on my last trip, a mango-flavored bubble tea.  The bubble tea is more like a smoothie/slushie with tapioca balls at the bottom...yum yum!  I felt like a kid again.  

On both trips, I was promptly seated.  The server was proactive in asking if I had any questions about the dishes and regularly checked on me.  My parents, who had not eaten Vietnamese food previously, joined me for the second visit.  I explained to Hannah, the owner, and she was very gracious in explaining the menu options.  After they decided on pho, she brought out the ""fixings"" (lime, mint leaves, bean sprouts) and suggested how they should enjoy an authentic pho.  No condescension or impatience on Hannah's part, I'm really impressed by that.  

The interior is pretty awesome...green walls and velvet seats. Definitely, a night lounge vibe but none of the pretension.  If you've never eaten Vietnamese food, Pho Real is a nice on-ramp to fulfilling meal...for real. (Ha ha, real pun-ny!!!)","review","x98vOAFB3nBZEirsHwVY3g","Vietnamese",29,3.68965517241379,0,4,0,0,"NC",2.25,2,4,0,1,0,0,0,0,0,1.1,1,1,5,1,1,1,0,0,0,2.625,0,0,1.64414414414414,3.5213447171825,15004,0.172413793103448,2.75,1,2,4.5,4
"19",45,12,153783,153783,1,1,1,"mUUy72UfqmFj_krWclKELw","dEIfnjFbPhXnXMWnwhzFYg",4,"2009-01-07","I've never had Indian cuisine before and a friend of mine has been craving it since he left the UK. So, we opted for Royal Taj. Since I am an Indian cuisine virgin, it wasn't a bad place to eat. 

My friend and I had the Tandoori Chicken dish. I thought it was really good!! I ordered the ""half"" serving and it was quite filling. I even had to get a to-go box. The Naan bread was really good! 

My friend told me something was missing with the dish. He said ""the Tandoori Chicken dish usually comes with curry sauce..."" (from his past experience). For him it wasn't that good compared to the Indian cuisine is Britain.

But for a ""virgin"" like me it was GREAT!!","review","6SMQl2vR37HvjYWwSl1V3w","Indian",39,3.87179487179487,0,3,0,0,"AZ",3,2,4,0,0,1,0,0,0,0,0.7,1,1,10,0,1,1,0,0,2,3.5,0,0,1.64414414414414,3.5213447171825,14251,0.256410256410256,1,1,0,0,0
"20",46,12,200957,200957,0,0,0,"mnFkfMbydTxyhC9HwwCoLQ","411nqILuwfMaa0m1gWKVkg",3,"2013-11-21","It was interesting. I've never had Korean Hawaiian food before. It looks like people buy kimchi and other ban chan in bulk to go here too. I might go back and try other dishes before I completely write it off, but I wasn't impressed.

Ordered:
-Combo plate w fried rice
-Mool naeng myun (cold noodle)
-Chili japchae

The combo plate was the best bang for buck. The galbi, meat jun, fried rice were all good.. not amazing. Mool naeng myun was terrible. I usually don't order it unless I'm really in the mood, because I haven't found many places outside of Korea that can make this well. Unfortunately, I happened to be in the mood for it. Sometimes I can tolerate it by adding vinegar and mustard to cover most of the taste. This one didn't taste like much of anything even after adding the mustard and vinegar. Probably one of the worst / bottom five.

We ordered chili japchae which we thought was regular japchae with peppers to add a kick. Instead, it was stir fried onions and peppers, which confused us. It tasted like a thai dish I've had and was pretty good, but not what we expected at all.

The kimchi was good, so I wouldn't mind buying this to-go.","review","xxOQ7h6s3InV8o8DOVHlMA","Korean",5,2.8,0,1,0,0,"NV",2,2,4.5,0,0,0,1,0,0,0,1.3,0,1,2,0,1,1,0,0,2,4,0,0,1.64414414414414,3.5213447171825,16030,0.4,1,1,0,0,0
"21",49,12,1785449,1785449,0,8,3,"glRXVWWD6x1EZKfjJawTOg","SjtDlglKb2dPPQOEKBjz4w",4,"2013-06-08","I'm glad there is growth in the valley of businesses offering something different. This is the first and only Japanese pastry place. If you're a fan of Kabuto or Goyemons treats, these are the pastry chefs that created those items. For those who have never had Japanese desserts the best way to describe them is decadent, yet delicate. It's not about saccharine, sugary highs, but all about balance. Often they play on flavors that are a bit sweet, a bit savory (think green tea, red bean, sesame, etc). 

I picked up some stuff to-go : 

Green tea cream puff - solid cream puff. I sliced it in half and half of the cream is vanilla cream and half was nice, strong matcha flavored whip. We make some awesome cream puffs at home and I feel these are just as good. 

Brandied cherry black forest - I enjoyed the chocolate mousse in this and appreciated that the cherries were brandied and not the usual neon ice cream cherries. 

Yuzu panna cotta - This was bright citrusy pungent flavor that I love about yuzu and the texture was on point of a panna cotta. I get rather disappointed how unbalanced many places are between creamy and gelatine. 

Tofu cheesecake - light and fluffy. I'm a big fan of Japanese style cheesecake since it's almost like a whipped mousse instead of being dense. It's one of those things that you can eat a lot of since it's not overbearing.

For the quality, the prices aren't out of line, but this isn't your cheapest bakery either. The quality though and presentation is top notch and something you would expect to see at a on strip patisserie charging for more. If you were going to a dinner party or gifting pastries, this would be one of the places to consider for being beautiful, and having unique offerings. 

I will be back for crepes. It's been a long while since I've had a proper crepe. Will be making sure to stop in again when I'm on this side of town.","review","DqJij-nTV3yvmJqfd8KAOQ","Japanese",277,3.62454873646209,0,147,21,1,"NV",3.6734693877551,1,4.5,0,0,0,1,0,0,0,1.3,1,1,36,1,1,1,1,1,1.68707482993197,3.71768707482993,0,4.07142857142857,2,4,15864,0.129963898916967,0.326530612244898,1,1,4,4
"22",50,13,200985,200985,0,0,0,"_kjenHnyhQJoKIOYWwwhgg","6FWKY_nqLyxy0XVeijmygA",5,"2014-02-27","This place was amazing! This was my first time eating Korean fusion and I was so impressed with the food and the service. Our server was really thorough and brought us lots of goodies to start; kimchi, radishes, zucchini, and bean sprouts. I ordered spicy chicken and it came with white rice and a macaroni salad--soooo good! I also had a spicy cold noodle dish (forgot the name) but it's a must try! Russell has excellent customer service and took care of this newbie.","review","xxOQ7h6s3InV8o8DOVHlMA","Korean",43,4.51162790697674,0,0,5,1,"NV",3.5213447171825,2,4.5,0,0,0,1,0,0,0,1.3,1,1,6,0,1,0,1,1,0,0,2,4.2,2,4.5,16128,0.13953488372093,1.4786552828175,1,0,0,0
